lesson,vi,en
9,"Màn hình tạo mới và màn hình chỉnh sửa có giao diện giống nhau","The create screen and the edit screen have the same interfaces"
9,"Chỉ có vài cột bị disable ở màn hình edit, còn màn hình create thì không","Only some columns will be disabled in the edit screen, but not in the create screen"
9,"Hiện tại em chưa làm chức năng tìm kiếm và phân trang ở màn hình danh sách khách hàng, vì em không có đủ thời gian","I haven't done the search and pagination functions on the customer list screen yet, because I don't have enough time to do it"
9,"Khá ấn tượng đó! Mới có ba ngày mà em đã làm rất tốt rồi","Quite impressive! It's only been three days and you're doing very well"
9,"Chú ý đặt tên class và package nha. Hiện tại em chưa đặt theo convention của dự án đâu. Nhớ chú ý chỗ này","Pay attention to the class and package names. Currently, you have not named them according to the project convention. Remember to pay attention to that"
9,"Ngoài ra, sau khi kết nối database thì nhớ đóng connection lại. Đây là yêu cầu bắt buộc","Additionally, after connecting to the database, remember to close the connection. This is a mandatory requirement"
9,"Nếu quên đóng thì hậu quả khó lường lắm. Hệ thống có thể sinh ra lỗi khó hiểu","If you forget to close it, the consequences will be unpredictable. The system may generate incomprehensible errors"
9,"Bây giờ anh sẽ chỉ em cách push source code lên GitHub. Em có biết các branch của project mình đang làm không?","Now I will show you how to push source code to GitHub. Do you know the GitHub branches of the project we are working on?"
9,"Ngày xưa lúc còn sinh viên, em chỉ dùng mỗi main branch, tức là master branch. Cùng lắm thì em tạo thêm một branch ABC gì đó tự đặt tên thôi","When I was a student, I only used the main branch, that is, the master branch. At most, I used another ABC branch, which I named myself"
9,"Em cũng không rõ ngoài thực tế các branch được đặt tên như thế nào","I don't know how the branches are named in real projects"
9,"Project mình đang làm sẽ có mấy branch như sau. Đầu tiên là main branch, chứa source code để deploy lên production","The project we are working on will have the following branches. First is the main branch, containing source code to deploy to the production environment"
9,"Tiếp theo là staging branch, chứa source code để deploy lên môi trường test, tức là staging environment","Second is the staging branch, containing source code to deploy to the testing environment, i.e. the staging environment"
9,"Thứ ba là dev branch, chứa source code mà các dev merge lại với nhau sau khi code xong","Third is the dev branch, containing source code that the devs merge together after coding"
9,"Ngoài ra, mỗi dev có thể tạo branch riêng, nhưng cần đặt tên cẩn thận để tránh nhầm lẫn","In addition, each dev can create their own branches, but they need to name them carefully to avoid confusion"
9,"Và các dev phải thường xuyên kiểm tra, xóa các branch không cần thiết, để tránh tạo ra branch rác trên github","And the devs must regularly check and delete unnecessary branches, so as not to create junk branches on gethub"
9,"Khi merge code giữa các dev với nhau, có lỗi không anh? Nếu có thì phải làm sao?","When merging code between developers, will there be errors? What should we do when there are errors?"
9,"Tất nhiên là có lỗi rồi. Sau khi code xong, em sẽ phải push source code lên branch ABC","Of course there are some mistakes. After finishing the code, you will have to push the source code to the ABC branch"
9,"Sau đó em phải tạo pull request để team leader review code của em","Then, you have to create a pull request for the team leader to review your code"
9,"Nếu chưa rõ quy trình này thì em có thể xem thêm video trên YouTube. Người ta đã giải thích rất chi tiết","If you do not know this process clearly, you can watch more videos on YouTube. People have explained it in detail"
10,"Công việc của cậu thế nào, kể cho tớ nghe đi","how is your job tell me about it"
10,"Ừ, tớ nghe nói công việc cậu làm tốt lắm phải không?","okay I heard your work is good right"
10,"Ừm? Không, mới bắt đầu thôi, mọi thứ đều mới. Tớ phải thử 200% khả năng của mình","okay? No, just started working everything is new I have to try 200% of my ability"
10,"Công ty mình là công ty sản phẩm. Cả công ty sống dựa vào chỉ một sản phẩm. Hầu hết mọi người đều làm trên cùng một công nghệ","Our company is a product company. The whole company lives on only one Product. Almost everyone works on the same technology"
10,"Vậy công ty cậu chắc phải có nhiều người giỏi lắm. Thường khi làm một công nghệ, họ sẽ chuyên sâu vào công nghệ đó đúng không?","so your company must have many talented people. Usually when working on a technology, they will specialize in that technology, right?"
10,"Đúng rồi. Tớ thấy các anh chị senior rất giỏi. Họ biết mọi thứ rất rõ","that's right. I think the seniors are really good. they know everything very well"
10,"Team của tớ cũng ổn. Vì công ty mình là công ty outsourcing, họ biết nhiều công nghệ. Nhưng tớ thấy mọi người không chuyên sâu vào một thứ. Họ biết nhiều thứ, nhưng chỉ biết một chút về mỗi thứ","our team is also okay. because our company is an outsourcing company, they know a lot of technology. But I see that everyone is not specialized in one thing. it's like they know a lot of things, but only a little bit of each thing"
11,"Hôm nay chúng ta sẽ có cuộc họp sprint plan cho sprint tiếp theo. Product owner giao cho chúng ta 20 user story cho sprint mới này","Today we will have a sprint plan meeting for the next sprint. The product owner gave us 20 user stories for this new sprint"
11,"Trước tiên là estimate cho user story A. Mọi người cho ý kiến xem user story này có bao nhiêu story point","First is the estimate for user story A. Everyone please give your opinion on how many story points this user story has"
11,"Tớ nghĩ là 5 story point. Theo kinh nghiệm của tớ vậy","I think it's 5 story points. That's my experience"
11,"Tớ nghĩ là 7 hoặc 8 point bro. Tớ không nghĩ nó đơn giản vậy đâu bro","I think it's 7 or 8 points bro. I don't think it's that simple bro"
11,"Tớ thấy cái này dễ mà. Đừng nghĩ quá phức tạp. Tớ đã làm những chức năng tương tự rồi. Theo tớ, 3 story point là đủ","I think this is easy. Don't think it's too complicated. I've done similar functions before. In my opinion, 3 story points is enough"
11,"Sau khi mọi người thảo luận, tớ nghĩ hợp lý là cho user story A khoảng 5 point. Vậy hãy cho 5 point","After everyone discussed, I think it's reasonable to give this user story A about 5 points. So let's give it 5 points"
11,"Estimate xong rồi, bây giờ mọi người pick task nhé","Estimate done, now everyone pick up the tasks please"
11,"Tớ tình nguyện làm user story A","I volunteer to do user story A"
11,"Tớ chọn user story B","I choose user story B"
11,"Vậy tớ sẽ làm user story C","So I will do user story C"
11,"Long làm task D nhé. Task đó chắc trong khả năng của cậu","Long, do task D. That task is probably within your ability"
